O*NET-SOC Code,Occupation (O*NET-SOC Title),Task ID,Task,Task Type,Date,Category,Frequency,Importance,Relevance,Occupation Mean Annual Wage,Occupation Employment,Skill (O*NET Work Activity),Skill ID (O*NET Generalized Work Activity ID)
11-3051.01,Quality Control Systems Managers,15415,Review and update standard operating procedures or quality assurance manuals.,Core,Aug-22,3,3,4.35,98.75,,,['Documenting/Recording Information'],['4.A.3.b.6']
11-3051.01,Quality Control Systems Managers,15430,Monitor performance of quality control systems to ensure effectiveness and efficiency.,Core,Aug-22,5,5,4.33,93.61,,,"['Monitoring Processes, Materials, or Surroundings']",['4.A.1.a.2']
11-3051.01,Quality Control Systems Managers,15414,Review quality documentation necessary for regulatory submissions and inspections.,Core,Aug-22,5,5,4.24,98.78,,,['Evaluating Information to Determine Compliance with Standards'],['4.A.2.a.3']
11-3051.01,Quality Control Systems Managers,15428,Analyze quality control test results and provide feedback and interpretation to production management or staff.,Core,Aug-22,3,3,4.23,90.71,,,"['Analyzing Data or Information', 'Communicating with Supervisors, Peers, or Subordinates']","['4.A.2.a.4', '4.A.4.a.2']"
11-3051.01,Quality Control Systems Managers,15424,"Direct the tracking of defects, test results, or other regularly reported quality control data.",Core,Aug-22,4,4,4.1,97.22,,,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4']
11-3051.01,Quality Control Systems Managers,15416,"Produce reports regarding nonconformance of products or processes, daily production quality, root cause analyses, or quality trends.",Core,Aug-22,3,3,3.93,95.63,,,['Documenting/Recording Information'],['4.A.3.b.6']
11-3051.01,Quality Control Systems Managers,15427,"Communicate quality control information to all relevant organizational departments, outside vendors, or contractors.",Core,Aug-22,3,3,3.92,96.91,,,['Interpreting the Meaning of Information for Others'],['4.A.4.a.1']
11-3051.01,Quality Control Systems Managers,15422,Identify critical points in the manufacturing process and specify sampling procedures to be used at these points.,Core,Aug-22,3,3,3.84,81.51,,,['Developing Objectives and Strategies'],['4.A.2.b.4']
11-3051.01,Quality Control Systems Managers,15425,Create and implement inspection and testing criteria or procedures.,Core,Aug-22,3,3,3.78,89.61,,,"['Making Decisions and Solving Problems', 'Developing Objectives and Strategies']","['4.A.2.b.1', '4.A.2.b.4']"
11-3051.01,Quality Control Systems Managers,15423,"Document testing procedures, methodologies, or criteria.",Core,Aug-22,3,3,3.78,81.94,,,['Documenting/Recording Information'],['4.A.3.b.6']
11-3051.03,Biofuels Production Managers,15456,"Review logs, datasheets, or reports to ensure adequate production levels or to identify abnormalities with biofuels production equipment or processes.",Core,Jul-16,5,5,4.25,100,,,['Analyzing Data or Information'],['4.A.2.a.4']
11-3051.03,Biofuels Production Managers,15458,"Monitor meters, flow gauges, or other real-time data to ensure proper operation of biofuels production equipment, implementing corrective measures as needed.",Core,Jul-16,6,6,4.22,94.54,,,"['Monitoring Processes, Materials, or Surroundings']",['4.A.1.a.2']
11-3051.03,Biofuels Production Managers,15461,"Adjust temperature, pressure, vacuum, level, flow rate, or transfer of biofuels to maintain processes at required levels.",Core,Jul-16,5,5,4.22,89.02,,,['Controlling Machines and Processes'],['4.A.3.a.3']
11-3051.03,Biofuels Production Managers,15460,"Approve proposals for the acquisition, replacement, or repair of biofuels processing equipment or the implementation of new production processes.",Core,Jul-16,3,3,3.72,77.55,,,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4']
11-3051.03,Biofuels Production Managers,15457,Prepare and manage biofuels plant or unit budgets.,Core,Jul-16,4,4,3.56,78.88,,,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4']
11-3051.03,Biofuels Production Managers,15459,"Conduct cost, material, and efficiency studies for biofuels production plants or operations.",Core,Jul-16,3,3,3.56,78.28,,,"['Judging the Qualities of Objects, Services, or People']",['4.A.2.a.1']
11-3051.04,Biomass Power Plant Managers,15471,Review biomass operations performance specifications to ensure compliance with regulatory requirements.,Core,Aug-20,5,5,4.52,100,,,['Evaluating Information to Determine Compliance with Standards'],['4.A.2.a.3']
11-3051.04,Biomass Power Plant Managers,15470,"Review logs, datasheets, or reports to ensure adequate production levels and safe production environments or to identify abnormalities with power production equipment or processes.",Core,Aug-20,5,5,4.14,93.71,,,"['Monitoring Processes, Materials, or Surroundings', 'Evaluating Information to Determine Compliance with Standards']","['4.A.1.a.2', '4.A.2.a.3']"
11-3051.04,Biomass Power Plant Managers,15474,"Plan and schedule plant activities, such as wood, waste, or refuse fuel deliveries, ash removal, and regular maintenance.",Core,Aug-20,5,5,3.82,92.99,,,"['Scheduling Work and Activities', 'Guiding, Directing, and Motivating Subordinates']","['4.A.2.b.5', '4.A.4.b.4']"
11-3051.04,Biomass Power Plant Managers,15477,Evaluate power production or demand trends to identify opportunities for improved operations.,Core,Aug-20,5,5,3.6,87.68,,,['Analyzing Data or Information'],['4.A.2.a.4']
11-3051.04,Biomass Power Plant Managers,15472,"Prepare reports on biomass plant operations, status, maintenance, and other information.",Core,Aug-20,3,3,3.54,99.7,,,"['Communicating with Supervisors, Peers, or Subordinates']",['4.A.4.a.2']
11-3051.04,Biomass Power Plant Managers,15464,Manage parts and supply inventories for biomass plants.,Core,Aug-20,5,5,3.4,91.95,,,['Monitoring and Controlling Resources'],['4.A.4.c.3']
11-3051.04,Biomass Power Plant Managers,15465,"Monitor and operate communications systems, such as mobile radios.",Core,Aug-20,5,5,3.29,80.67,,,"['Monitoring Processes, Materials, or Surroundings', 'Controlling Machines and Processes']","['4.A.1.a.2', '4.A.3.a.3']"
11-3051.04,Biomass Power Plant Managers,15466,Compile and record operational data on forms or in log books.,Supplemental,Aug-20,5,5,3.93,65.8,,,"['Processing Information', 'Documenting/Recording Information']","['4.A.2.a.2', '4.A.3.b.6']"
11-3051.04,Biomass Power Plant Managers,15479,"Monitor the operating status of biomass plants by observing control system parameters, distributed control systems, switchboard gauges, dials, or other indicators.",Supplemental,Aug-20,5,5,3.79,66.66,,,"['Monitoring Processes, Materials, or Surroundings']",['4.A.1.a.2']
11-3051.06,Hydroelectric Production Managers,15512,"Maintain records of hydroelectric facility operations, maintenance, or repairs.",Core,Jul-16,5,5,4.16,98.54,,,['Documenting/Recording Information'],['4.A.3.b.6']
11-3051.06,Hydroelectric Production Managers,15508,Plan or coordinate hydroelectric production operations to meet customer requirements.,Core,Jul-16,5,5,4.09,80.3,,,"['Thinking Creatively', 'Guiding, Directing, and Motivating Subordinates']","['4.A.2.b.2', '4.A.4.b.4']"
11-3051.06,Hydroelectric Production Managers,15518,"Check hydroelectric operations for compliance with prescribed operating limits, such as loads, voltages, temperatures, lines, or equipment.",Core,Jul-16,5,5,4.07,86.02,,,"['Monitoring Processes, Materials, or Surroundings']",['4.A.1.a.2']
11-3051.06,Hydroelectric Production Managers,15517,Create or enforce hydrostation voltage schedules.,Supplemental,Jul-16,5,5,3.67,40.1,,,['Scheduling Work and Activities'],['4.A.2.b.5']
11-3061.00,Purchasing Managers,1021,"Locate vendors of materials, equipment or supplies, and interview them to determine product availability and terms of sales.",Core,Aug-23,4,4,4.53,100,150630,81240,"['Getting Information', 'Communicating with Supervisors, Peers, or Subordinates']","['4.A.1.a.1', '4.A.4.a.2']"
11-3061.00,Purchasing Managers,1033,Prepare bid awards requiring board approval.,Core,Aug-23,3,3,4.22,94.74,150630,81240,['Documenting/Recording Information'],['4.A.3.b.6']
11-3061.00,Purchasing Managers,1025,Review purchase order claims and contracts for conformance to company policy.,Core,Aug-23,3,3,4.18,89.47,150630,81240,['Evaluating Information to Determine Compliance with Standards'],['4.A.2.a.3']
11-3061.00,Purchasing Managers,1031,"Review, evaluate, and approve specifications for issuing and awarding bids.",Core,Aug-23,4,4,4.18,89.47,150630,81240,"['Processing Information', 'Making Decisions and Solving Problems']","['4.A.2.a.2', '4.A.2.b.1']"
11-3061.00,Purchasing Managers,1035,Administer online purchasing systems.,Core,Aug-23,3,3,4.13,78.95,150630,81240,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4']
11-3061.00,Purchasing Managers,1022,Prepare and process requisitions and purchase orders for supplies and equipment.,Core,Aug-23,5,5,4.12,84.21,150630,81240,['Documenting/Recording Information'],['4.A.3.b.6']
11-3061.00,Purchasing Managers,1026,Analyze market and delivery systems to assess present and future material availability.,Core,Aug-23,3,3,4.05,100,150630,81240,"['Analyzing Data or Information', 'Making Decisions and Solving Problems']","['4.A.2.a.4', '4.A.2.b.1']"
11-3061.00,Purchasing Managers,1020,Maintain records of goods ordered and received.,Core,Aug-23,3,3,4,94.74,150630,81240,['Documenting/Recording Information'],['4.A.3.b.6']
11-3071.04,Supply Chain Managers,20942,"Determine appropriate equipment and staffing levels to load, unload, move, or store materials.",Core,Jul-17,3,3,4.24,100,,,['Making Decisions and Solving Problems'],['4.A.2.b.1']
11-3071.04,Supply Chain Managers,20943,"Manage activities related to strategic or tactical purchasing, material requirements planning, controlling inventory, warehousing, or receiving.",Core,Jul-17,5,5,4.2,95.24,,,['Monitoring and Controlling Resources'],['4.A.4.c.3']
11-3071.04,Supply Chain Managers,15680,Select transportation routes to maximize economy by combining shipments or consolidating warehousing and distribution.,Core,Jul-17,4,4,4.11,90.48,,,['Making Decisions and Solving Problems'],['4.A.2.b.1']
11-3071.04,Supply Chain Managers,15700,"Develop procedures for coordination of supply chain management with other functional areas, such as sales, marketing, finance, production, or quality assurance.",Core,Jul-17,3,3,4.1,100,,,['Developing Objectives and Strategies'],['4.A.2.b.4']
11-3071.04,Supply Chain Managers,15696,"Analyze inventories to determine how to increase inventory turns, reduce waste, or optimize customer service.",Core,Jul-17,3,3,4.06,85.71,,,['Analyzing Data or Information'],['4.A.2.a.4']
11-3071.04,Supply Chain Managers,15697,Analyze information about supplier performance or procurement program success.,Core,Jul-17,3,3,4,90.48,,,['Analyzing Data or Information'],['4.A.2.a.4']
11-3071.04,Supply Chain Managers,20945,Monitor suppliers' activities to assess performance in meeting quality or delivery requirements.,Core,Jul-17,3,3,3.95,100,,,"['Monitoring Processes, Materials, or Surroundings']",['4.A.1.a.2']
11-3071.04,Supply Chain Managers,20946,Monitor forecasts and quotas to identify changes and predict effects on supply chain activities.,Core,Jul-17,3,3,3.68,90.48,,,"['Monitoring Processes, Materials, or Surroundings']",['4.A.1.a.2']
11-3071.04,Supply Chain Managers,15691,"Document physical supply chain processes, such as workflows, cycle times, position responsibilities, or system flows.",Core,Jul-17,3,3,3.39,85.71,,,['Documenting/Recording Information'],['4.A.3.b.6']
11-3111.00,Compensation and Benefits Managers,3267,"Direct preparation and distribution of written and verbal information to inform employees of benefits, compensation, and personnel policies.",Core,Aug-23,3,3,4.71,100,156230,20070,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4']
11-3121.00,Human Resources Managers,985,"Provide current and prospective employees with information about policies, job duties, working conditions, wages, opportunities for promotion, and employee benefits.",Core,Aug-18,3,3,4.17,100,160480,215520,['Interpreting the Meaning of Information for Others'],['4.A.4.a.1']
11-3121.00,Human Resources Managers,982,"Administer compensation, benefits, and performance management systems, and safety and recreation programs.",Core,Aug-18,3,3,4.04,95.83,160480,215520,"['Guiding, Directing, and Motivating Subordinates', 'Staffing Organizational Units']","['4.A.4.b.4', '4.A.4.c.2']"
11-3121.00,Human Resources Managers,994,Analyze statistical data and reports to identify and determine causes of personnel problems and develop recommendations for improvement of organization's personnel policies and practices.,Core,Aug-18,3,3,4.04,100,160480,215520,['Analyzing Data or Information'],['4.A.2.a.4']
11-3121.00,Human Resources Managers,1004,"Study legislation, arbitration decisions, and collective bargaining contracts to assess industry trends.",Core,Aug-18,3,3,3.64,91.67,160480,215520,['Updating and Using Relevant Knowledge'],['4.A.2.b.3']
11-3121.00,Human Resources Managers,993,"Maintain records and compile statistical reports concerning personnel-related data such as hires, transfers, performance appraisals, and absenteeism rates.",Core,Aug-18,3,3,3.57,95.83,160480,215520,"['Processing Information', 'Documenting/Recording Information']","['4.A.2.a.2', '4.A.3.b.6']"
11-3121.00,Human Resources Managers,1002,"Develop, administer, and evaluate applicant tests.",Core,Aug-18,3,3,3.25,83.33,160480,215520,['Staffing Organizational Units'],['4.A.4.c.2']
11-3131.00,Training and Development Managers,1009,"Evaluate instructor performance and the effectiveness of training programs, providing recommendations for improvement.",Core,Aug-24,4,4,4.36,100,140590,44960,"['Judging the Qualities of Objects, Services, or People']",['4.A.2.a.1']
11-3131.00,Training and Development Managers,1013,"Develop and organize training manuals, multimedia visual aids, and other educational materials.",Core,Aug-24,3,3,4.08,96.43,140590,44960,"['Thinking Creatively', 'Documenting/Recording Information']","['4.A.2.b.2', '4.A.3.b.6']"
11-9033.00,"Education Administrators, Postsecondary",5236,"Plan, administer, and control budgets, maintain financial records, and produce financial reports.",Core,Aug-18,3,3,3.84,79.97,124450,176420,"['Documenting/Recording Information', 'Guiding, Directing, and Motivating Subordinates']","['4.A.3.b.6', '4.A.4.b.4']"
11-9041.00,Architectural and Engineering Managers,20171,"Direct, review, or approve project design changes.",Core,Aug-20,4,4,4,97.69,175710,210340,"['Judging the Qualities of Objects, Services, or People', 'Guiding, Directing, and Motivating Subordinates']","['4.A.2.a.1', '4.A.4.b.4']"
11-9041.00,Architectural and Engineering Managers,20173,"Assess project feasibility by analyzing technology, resource needs, or market demand.",Core,Aug-20,4,4,3.4,88.56,175710,210340,"['Judging the Qualities of Objects, Services, or People', 'Analyzing Data or Information']","['4.A.2.a.1', '4.A.2.a.4']"
11-9041.00,Architectural and Engineering Managers,20176,"Develop or implement policies, standards, or procedures for engineering and technical work.",Core,Aug-20,3,3,3.33,98.69,175710,210340,"['Making Decisions and Solving Problems', 'Developing Objectives and Strategies']","['4.A.2.b.1', '4.A.2.b.4']"
11-9041.00,Architectural and Engineering Managers,20177,"Perform administrative functions, such as reviewing or writing reports, approving expenditures, enforcing rules, or purchasing of materials or services.",Core,Aug-20,3,3,3.14,97.89,175710,210340,"['Making Decisions and Solving Problems', 'Documenting/Recording Information', 'Monitoring and Controlling Resources']","['4.A.2.b.1', '4.A.3.b.6', '4.A.4.c.3']"
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,15574,"Design or conduct applied biodiesel or biofuels research projects on topics, such as transport, thermodynamics, mixing, filtration, distillation, fermentation, extraction, and separation.",Core,Jul-14,5,5,4.1,85.3,,,['Developing Objectives and Strategies'],['4.A.2.b.4']
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,15578,"Analyze data from biofuels studies, such as fluid dynamics, water treatments, or solvent extraction and recovery processes.",Core,Jul-14,5,5,3.97,87.35,,,['Analyzing Data or Information'],['4.A.2.a.4']
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,15567,"Prepare, or oversee the preparation of, experimental plans for biofuels research or development.",Core,Jul-14,3,3,3.92,92.87,,,['Thinking Creatively'],['4.A.2.b.2']
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,15564,Develop computational tools or approaches to improve biofuels research and development activities.,Supplemental,Jul-14,3,3,3.37,51.58,,,['Developing Objectives and Strategies'],['4.A.2.b.4']
11-9111.00,Medical and Health Services Managers,49,"Develop and maintain computerized record management systems to store and process data, such as personnel activities and information, and to produce reports.",Core,Aug-22,5,5,4.31,92.86,137730,565840,"['Thinking Creatively', 'Documenting/Recording Information']","['4.A.2.b.2', '4.A.3.b.6']"
11-9111.00,Medical and Health Services Managers,51,"Conduct and administer fiscal operations, including accounting, planning budgets, authorizing expenditures, establishing rates for services, and coordinating financial reporting.",Core,Aug-22,3,3,4.16,89.29,137730,565840,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4']
11-9111.00,Medical and Health Services Managers,55,"Maintain awareness of advances in medicine, computerized diagnostic and treatment equipment, data processing technology, government regulations, health insurance changes, and financing options.",Core,Aug-22,3,3,4.16,89.29,137730,565840,['Updating and Using Relevant Knowledge'],['4.A.2.b.3']
11-9111.00,Medical and Health Services Managers,52,"Establish work schedules and assignments for staff, according to workload, space, and equipment availability.",Core,Aug-22,5,5,4.11,100,137730,565840,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4']
11-9111.00,Medical and Health Services Managers,61,Review and analyze facility activities and data to aid planning and cash and risk management and to improve service utilization.,Core,Aug-22,3,3,3.83,82.14,137730,565840,"['Monitoring Processes, Materials, or Surroundings', 'Analyzing Data or Information']","['4.A.1.a.2', '4.A.2.a.4']"
11-9111.00,Medical and Health Services Managers,57,"Prepare activity reports to inform management of the status and implementation plans of programs, services, and quality initiatives.",Core,Aug-22,3,3,3.78,96.43,137730,565840,['Documenting/Recording Information'],['4.A.3.b.6']
11-9121.00,Natural Sciences Managers,7207,"Design or coordinate successive phases of problem analysis, solution proposals, or testing.",Core,Aug-21,3,3,4.23,96.82,173500,100870,"['Developing Objectives and Strategies', 'Guiding, Directing, and Motivating Subordinates']","['4.A.2.b.4', '4.A.4.b.4']"
11-9121.00,Natural Sciences Managers,7208,"Review project activities and prepare and review research, testing, or operational reports.",Core,Aug-21,5,5,4.09,100,173500,100870,"['Analyzing Data or Information', 'Documenting/Recording Information']","['4.A.2.a.4', '4.A.3.b.6']"
11-9121.01,Clinical Research Coordinators,15612,"Schedule subjects for appointments, procedures, or inpatient stays as required by study protocols.",Core,Aug-21,4,4,4.49,84.74,,,['Scheduling Work and Activities'],['4.A.2.b.5']
11-9121.01,Clinical Research Coordinators,15595,"Prepare study-related documentation, such as protocol worksheets, procedural manuals, adverse event reports, institutional review board documents, or progress reports.",Core,Aug-21,3,3,4.41,82.57,,,['Documenting/Recording Information'],['4.A.3.b.6']
11-9121.01,Clinical Research Coordinators,15594,Record adverse event and side effect data and confer with investigators regarding the reporting of events to oversight agencies.,Core,Aug-21,4,4,4.35,89.64,,,"['Documenting/Recording Information', 'Communicating with Supervisors, Peers, or Subordinates']","['4.A.3.b.6', '4.A.4.a.2']"
11-9121.01,Clinical Research Coordinators,15614,"Maintain required records of study activity including case report forms, drug dispensation records, or regulatory forms.",Core,Aug-21,5,5,4.27,86.6,,,['Documenting/Recording Information'],['4.A.3.b.6']
11-9121.01,Clinical Research Coordinators,15593,"Review proposed study protocols to evaluate factors such as sample collection processes, data management plans, or potential subject risks.",Core,Aug-21,3,3,4.22,89.22,,,['Analyzing Data or Information'],['4.A.2.a.4']
11-9121.01,Clinical Research Coordinators,15608,"Collaborate with investigators to prepare presentations or reports of clinical study procedures, results, and conclusions.",Core,Aug-21,3,3,4.11,76.34,,,"['Communicating with Supervisors, Peers, or Subordinates']",['4.A.4.a.2']
11-9121.01,Clinical Research Coordinators,15592,Track enrollment status of subjects and document dropout information such as dropout causes and subject contact efforts.,Core,Aug-21,5,5,4.08,83.81,,,['Documenting/Recording Information'],['4.A.3.b.6']
