User ID,Occupation (O*NET-SOC Title),Gender,Race,Income,Age,Education,Experience,AI Tedious Work Attitude,AI Job Importance Attitude,AI Daily Interest Attitude,AI Suffering Attitude,Political Affiliation,LLM Familiarity,LLM Use in Work,LLM Usage by Type - Information Access,LLM Usage by Type - Edit,LLM Usage by Type - Idea Generation,LLM Usage by Type - Communication,LLM Usage by Type - Analysis,LLM Usage by Type - Decision,LLM Usage by Type - Coding,LLM Usage by Type - System Design,LLM Usage by Type - Data Processing,Recruitment Source
1b3f2ed4-9876-4972-a951-cdae12118c0b,Computer Systems Analysts,Male,Hispanic,0-30K,30,Prefer not to say,More than 10 years,Strongly agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Independent,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Daily,Daily,Never,Never,Daily,Never,Never,Daily,Daily,Prolific
b1ab6256-5078-4533-a5b9-e3127d47b0bf,Computer Systems Analysts,Male,Other,30-60K,38,Bachelor’s Degree,6-10 years,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Libertarian,I use them regularly.,"Yes, I use them every week in my work.",Weekly,Monthly,Weekly,Never,Never,Never,Never,Never,Never,Prolific
073fdfb6-505d-485e-a0f5-d628e3543671,Computer Systems Analysts,Female,White,60-86K,47,"Some College, No Degree",More than 10 years,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Democrat,I use them regularly.,"Yes, I use them every week in my work.",Daily,Weekly,Weekly,Daily,Daily,Daily,Weekly,Never,Daily,Prolific
28bce7ef-a5a3-46b6-90be-6267ce1901ec,Computer User Support Specialists,Male,White,86K-165K,40,Bachelor’s Degree,6-10 years,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Democrat,I use them regularly.,"Yes, I use them every week in my work.",Weekly,Weekly,Monthly,Weekly,Monthly,Weekly,Weekly,Never,Daily,Prolific
b386f3af-086c-4ea8-9d52-c99494162f0e,Information Security Analysts,Female,White,529K+,50,Master’s Degree,More than 10 years,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Republican,I use them regularly.,"Yes, I use them every day in my work.",Daily,Daily,Weekly,Daily,Weekly,Never,Never,Never,Never,Prolific
5cee41a0-c4f9-4086-9630-ba4f741087ae,Information Security Analysts,Male,Asian American and Pacific Islander,86K-165K,18,Master’s Degree,6-10 years,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Republican,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Monthly,Weekly,Never,Monthly,Never,Never,Weekly,Never,Weekly,Prolific
b331ade6-755a-48f5-8b2d-6d18497f6c18,Web Developers,Male,White,30-60K,24,Bachelor’s Degree,3-5 years,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,No political affliation,I use them regularly.,"Yes, I use them every day in my work.",Weekly,Daily,Weekly,Daily,Monthly,Monthly,Weekly,Weekly,Daily,Prolific
3f2a5f20-54a5-4388-8568-e33cbf2fb737,Computer Systems Analysts,Male,Black,60-86K,27,Master’s Degree,3-5 years,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Democrat,I have some experience using them.,"Yes, I use them every week in my work.",Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Prolific
692898ca-ca4e-4871-ba56-d44f7f9def30,Computer Systems Analysts,Female,White,0-30K,21,"Some College, No Degree",Less than 1 year,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Democrat,I use them regularly.,"Yes, I use them every week in my work.",Monthly,Weekly,Weekly,Weekly,Monthly,Weekly,Never,Never,Never,Prolific
cf13dc04-7e26-4024-8969-6e8a2c056763,Web Developers,Male,White,30-60K,33,Bachelor’s Degree,6-10 years,Strongly agree,Strongly disagree,Strongly agree,Somewhat disagree,No political affliation,I use them regularly.,"Yes, I use them every day in my work.",Never,Monthly,Weekly,Daily,Weekly,Monthly,Weekly,Monthly,Weekly,Prolific
7880981c-59da-4d72-96c6-83f3607d288e,Computer Systems Analysts,Male,Hispanic,30-60K,56,Bachelor’s Degree,6-10 years,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Democrat,I use them regularly.,"Yes, I have used them occasionally for specific tasks.",Daily,Weekly,Weekly,Weekly,Weekly,Weekly,Never,Never,Never,Prolific
3ef36c0f-554a-4a88-831f-1e0f5250831b,Computer Systems Analysts,Male,Black,86K-165K,35,Master’s Degree,6-10 years,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Independent,I use them regularly.,"Yes, I use them every day in my work.",Weekly,Daily,Weekly,Daily,Daily,Daily,Daily,Weekly,Daily,Prolific
66722641-a04d-4980-b4d4-953ec12819a2,Information Security Analysts,Prefer not to say,Other,Prefer not to say,30,Prefer not to say,6-10 years,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Prefer not to answer,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Weekly,Monthly,Never,Never,Monthly,Never,Never,Never,Weekly,Prolific
62f0d54f-047b-4db5-b5df-7f5b986359cb,Web Developers,Male,Black,30-60K,25,Bachelor’s Degree,3-5 years,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Democrat,I use them regularly.,"Yes, I use them every week in my work.",Daily,Weekly,Monthly,Monthly,Monthly,Weekly,Weekly,Weekly,Daily,Prolific
e5c920fc-7893-4b9b-b5c0-58aca98c82be,Information Technology Project Managers,Male,Black,30-60K,28,Bachelor’s Degree,3-5 years,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Independent,I have some experience using them.,"Yes, I use them every day in my work.",Daily,Daily,Daily,Daily,Daily,Daily,Daily,Monthly,Monthly,WoM
c2778914-f3e9-4623-a276-358865c6a48a,Business Intelligence Analysts,Male,Black,0-30K,24,Bachelor’s Degree,1-2 year,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No political affliation,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Monthly,Monthly,Monthly,Monthly,Monthly,Weekly,Weekly,Monthly,Monthly,WoM
762bed7b-13ab-4369-8395-a16df90441a6,Web Developers,Female,White,60-86K,50,Bachelor’s Degree,3-5 years,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Democrat,I use them regularly.,"Yes, I use them every day in my work.",Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Prolific
9edab1e8-d79b-42e1-bb38-8cae659137c7,Information Security Analysts,Male,White,30-60K,54,"Some College, No Degree",6-10 years,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Democrat,I use them regularly.,"Yes, I use them every day in my work.",Weekly,Weekly,Weekly,Daily,Daily,Daily,Weekly,Monthly,Daily,Prolific
e50ffa47-9c96-433a-ae73-3b4c441bdc18,Information Security Analysts,Male,White,30-60K,45,"Some College, No Degree",6-10 years,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Democrat,I use them regularly.,"Yes, I use them every day in my work.",Weekly,Daily,Monthly,Weekly,Daily,Daily,Weekly,Never,Daily,Prolific
34bd0adf-a315-48cc-a794-4d1312fb8165,Mathematicians,Male,Other,30-60K,25,"Doctorate (e.g., PhD)",6-10 years,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,No political affliation,I use them regularly.,"Yes, I use them every day in my work.",Daily,Monthly,Monthly,Daily,Monthly,Never,Daily,Monthly,Monthly,WoM
3332d78f-8b6a-4fab-9903-76b9f4f2728e,Database Administrators,Male,Native American,165K-209K,26,Bachelor’s Degree,1-2 year,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Democrat,I use them regularly.,"Yes, I use them every day in my work.",Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,WoM
901bc914-d2f6-4a71-830f-e4e800a6d5b6,Video Game Designers,Male,White,0-30K,34,Bachelor’s Degree,3-5 years,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Independent,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Weekly,Never,Weekly,Never,Never,Weekly,Daily,Monthly,Never,Upwork
9cc071a0-0f2f-4e8b-9c01-44422a3d742f,Web Developers,Male,Black,0-30K,18,Bachelor’s Degree,3-5 years,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Prefer not to answer,I use them regularly.,"Yes, I use them every day in my work.",Daily,Daily,Daily,Weekly,Monthly,Weekly,Daily,Monthly,Monthly,WoM
37f233a6-cfc0-4037-aff6-09fc96ff528e,Business Intelligence Analysts,Male,Black,Prefer not to say,30,Bachelor’s Degree,3-5 years,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly disagree,No political affliation,I use them regularly.,"Yes, I use them every day in my work.",Daily,Daily,Daily,Daily,Daily,Weekly,Daily,Daily,Daily,WoM
cac6b867-ca58-4422-aab4-c9136de43d8e,Information Security Analysts,Male,Black,86K-165K,73,Master’s Degree,6-10 years,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Democrat,I use them regularly.,"Yes, I use them every day in my work.",Weekly,Daily,Weekly,Monthly,Weekly,Monthly,Daily,Monthly,Daily,Prolific
5beed6d3-586a-454e-8302-ebf5471e23bd,Computer User Support Specialists,Male,White,0-30K,44,Master’s Degree,3-5 years,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Republican,I use them regularly.,"Yes, I use them every day in my work.",Daily,Daily,Daily,Weekly,Daily,Weekly,Monthly,Monthly,Daily,Prolific
7b82ae62-d509-4f7d-9b60-01cf3fa53c7d,Web Developers,Male,White,86K-165K,57,Bachelor’s Degree,More than 10 years,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Republican,I use them regularly.,"Yes, I use them every day in my work.",Daily,Monthly,Weekly,Monthly,Monthly,Never,Daily,Never,Monthly,Prolific
c1672ba2-0cee-4f04-bc07-cd385d6c895d,Computer Systems Analysts,Male,White,60-86K,36,"Professional Degree (e.g., MD, JD)",1-2 year,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Independent,I use them regularly.,"Yes, I have used them occasionally for specific tasks.",Never,Never,Never,Never,Monthly,Never,Monthly,Never,Monthly,Prolific
7244fcfe-9792-4f6a-84dd-29ce048d9889,Computer Systems Analysts,Female,White,165K-209K,33,"Doctorate (e.g., PhD)",6-10 years,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Democrat,I use them regularly.,"Yes, I use them every week in my work.",Daily,Weekly,Weekly,Weekly,Monthly,Weekly,Weekly,Daily,Weekly,Prolific
6d3e3310-ef4c-4e4f-97cb-74b545f8552d,Computer User Support Specialists,Male,White,0-30K,42,"Some College, No Degree",More than 10 years,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Democrat,I use them regularly.,"Yes, I have used them occasionally for specific tasks.",Weekly,Daily,Daily,Never,Monthly,Monthly,Never,Never,Monthly,Prolific
de7d26af-62e0-46e5-881a-166cb7ffdc19,Computer Systems Analysts,Male,White,30-60K,41,Master’s Degree,3-5 years,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Independent,I use them regularly.,"Yes, I use them every day in my work.",Daily,Weekly,Weekly,Daily,Weekly,Weekly,Daily,Monthly,Weekly,Prolific
72587606-2c05-4592-9b98-71017b8b789b,Computer User Support Specialists,Female,White,30-60K,39,"Some College, No Degree",6-10 years,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Republican,I have some experience using them.,"No, I have not used them for any work-related activities.",Không sử dụng,Không sử dụng,Không sử dụng,Không sử dụng,Không sử dụng,Không sử dụng,Không sử dụng,Không sử dụng,Không sử dụng,Prolific
dde4ad2d-758a-4cf5-91c9-72782474aa8c,Computer Systems Analysts,Female,White,60-86K,26,"Professional Degree (e.g., MD, JD)",3-5 years,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Independent,I have some experience using them.,"Yes, I use them every day in my work.",Daily,Weekly,Weekly,Weekly,Daily,Daily,Never,Never,Daily,Prolific
2db0acfb-8055-4d9b-afe2-5ad24a989cd4,Computer User Support Specialists,Male,Hispanic,0-30K,27,High School,3-5 years,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Democrat,I have some experience using them.,"Yes, I use them every day in my work.",Never,Never,Never,Daily,Never,Never,Never,Never,Daily,Prolific
86c9b5e5-96af-49e1-9b63-5f15b2ee193c,Computer User Support Specialists,Female,White,86K-165K,50,Bachelor’s Degree,6-10 years,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,No political affliation,I use them regularly.,"Yes, I use them every day in my work.",Daily,Never,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Prolific
474c23e9-9e54-4fd5-bdd4-04332d39f1a5,Business Intelligence Analysts,Male,Other,86K-165K,26,Bachelor’s Degree,3-5 years,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,No political affliation,I use them regularly.,"Yes, I use them every week in my work.",Weekly,Monthly,Never,Weekly,Never,Never,Weekly,Monthly,Never,WoM
b2eed374-136d-4308-917a-38e0051a3654,Computer Network Support Specialists,Female,White,60-86K,36,"Some College, No Degree",3-5 years,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Independent,I use them regularly.,"Yes, I have used them occasionally for specific tasks.",Monthly,Monthly,Weekly,Weekly,Monthly,Monthly,Monthly,Monthly,Monthly,Upwork
70500d15-d407-429a-97ea-107b964f3b77,Computer Systems Engineers/Architects,Male,White,209K-529K,27,Bachelor’s Degree,3-5 years,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Prefer not to answer,I use them regularly.,"Yes, I use them every week in my work.",Daily,Monthly,Monthly,Never,Monthly,Never,Weekly,Monthly,Daily,Upwork
f375b1dd-cf9c-4f5d-82f4-b4e674b902d0,Information Technology Project Managers,Male,Black,0-30K,28,Bachelor’s Degree,6-10 years,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,No political affliation,I have some experience using them.,"Yes, I use them every week in my work.",Weekly,Weekly,Weekly,Daily,Weekly,Weekly,Weekly,Weekly,Weekly,WoM
fe3a2d70-ca10-474c-a779-2ceb41af38ba,Mathematicians,Male,Black,165K-209K,34,Bachelor’s Degree,3-5 years,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Prefer not to answer,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,WoM
d8b71c8b-763b-4f12-8bf3-bfc18c5af4ce,Computer Systems Analysts,Female,White,86K-165K,63,Bachelor’s Degree,More than 10 years,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Republican,I use them regularly.,"Yes, I use them every day in my work.",Weekly,Weekly,Never,Daily,Weekly,Weekly,Never,Never,Never,Prolific
081284e9-a7c3-4526-8b29-6fac21e7dc74,Computer User Support Specialists,Male,White,86K-165K,42,Bachelor’s Degree,More than 10 years,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Libertarian,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Weekly,Never,Never,Monthly,Never,Never,Never,Never,Never,Prolific
150f350e-279a-4cb9-8742-f67b5aa703ae,Computer User Support Specialists,Male,White,30-60K,52,Associate Degree,More than 10 years,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Independent,I use them regularly.,"Yes, I have used them occasionally for specific tasks.",Weekly,Monthly,Never,Monthly,Monthly,Never,Never,Never,Monthly,Prolific
fa785f60-af5d-4322-94ee-6cd65d98e86c,Computer Systems Analysts,Male,Other,60-86K,25,Bachelor’s Degree,1-2 year,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Independent,I use them regularly.,"Yes, I use them every day in my work.",Daily,Daily,Daily,Daily,Daily,Daily,Daily,Never,Never,Prolific
71059c80-852d-41aa-aa58-15b026ad427d,Web Developers,Male,Black,0-30K,49,Associate Degree,More than 10 years,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Independent,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Weekly,Weekly,Weekly,Never,Monthly,Monthly,Monthly,Monthly,Monthly,Prolific
5a8469e7-0587-475c-9e0a-3109ebb04971,Statisticians,Prefer not to say,Other,Prefer not to say,18,Bachelor’s Degree,1-2 year,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Prefer not to answer,I use them regularly.,"Yes, I use them every week in my work.",Weekly,Monthly,Monthly,Monthly,Never,Never,Monthly,Never,Never,WoM
2505df12-bae9-4ee7-a817-7e5e7624e3a3,Mathematicians,Male,Asian American and Pacific Islander,209K-529K,18,Master’s Degree,3-5 years,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,No political affliation,I use them regularly.,"Yes, I use them every week in my work.",Weekly,Weekly,Weekly,Weekly,Monthly,Never,Monthly,Never,Never,WoM
8bec2add-8f70-4f8c-9ba8-ad616293921f,Biostatisticians,Male,Black,0-30K,28,Bachelor’s Degree,3-5 years,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,No political affliation,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Weekly,Daily,Weekly,Daily,Weekly,Daily,Weekly,Daily,Weekly,WoM
6b6f9272-a6bc-4b0c-9e0e-b68d82abac39,Computer Systems Analysts,Male,White,165K-209K,44,Bachelor’s Degree,More than 10 years,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Republican,I use them regularly.,"Yes, I use them every week in my work.",Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Prolific
62cf3c63-3007-45a1-8225-37c03128ff36,Computer Systems Analysts,Male,White,30-60K,33,"Some College, No Degree",1-2 year,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Democrat,I use them regularly.,"Yes, I use them every week in my work.",Daily,Daily,Daily,Monthly,Weekly,Daily,Daily,Monthly,Weekly,Prolific
