Task ID,Occupation (O*NET-SOC Title),Task,User ID,Date,Self-reported Expertise,Automation Desire Rating,Time,Core Skill Rating,Job Security Rating,Enjoyment Rating,Reasons for Automation Desire - Free Time,Reasons for Automation Desire - Repetitive,Reasons for Automation Desire - Human Error,Reasons for Automation Desire - Stress,Reasons for Automation Desire - Difficulty,Reasons for Automation Desire - Scale,Physical Action Requirement,Interpersonal Communication Requirement,Involved Uncertainty,Domain Expertise Requirement,Human Agency Scale Rating,Reasons for Human Agency - Physical,Reasons for Human Agency - Control,Reasons for Human Agency - Domain Knowledge,Reasons for Human Agency - Empathy,Reasons for Human Agency - Quality Oversight,Reasons for Human Agency - Dynamic,Reasons for Human Agency - Ethical
16262,Biostatisticians,Review clinical or other medical research protocols and recommend appropriate statistical analyses.,12c5ffed-0ad6-4a36-8351-5dc779cb0aa6,17/04/2025,Average,3,4,3,4,3,False,False,False,False,False,False,4,4,3,3,3,False,False,False,False,False,False,False
16265,Biostatisticians,"Analyze clinical or survey data, using statistical approaches such as longitudinal analysis, mixed-effect modeling, logistic regression analyses, and model-building techniques.",12c5ffed-0ad6-4a36-8351-5dc779cb0aa6,17/04/2025,Expert,3,2,4,5,4,False,False,False,False,False,False,4,3,2,3,4,False,False,False,False,False,False,False
16252,Biostatisticians,Prepare tables and graphs to present clinical data or results.,6cb7681e-3df7-488d-b546-94f19ec5b973,18/04/2025,Novice,5,1,2,1,1,True,True,True,False,False,False,1,2,2,2,2,False,False,False,False,False,False,False
16265,Biostatisticians,"Analyze clinical or survey data, using statistical approaches such as longitudinal analysis, mixed-effect modeling, logistic regression analyses, and model-building techniques.",6cb7681e-3df7-488d-b546-94f19ec5b973,18/04/2025,Novice,2,4,4,4,3,False,False,False,False,False,False,1,3,4,4,4,False,True,True,True,True,False,True
16262,Biostatisticians,Review clinical or other medical research protocols and recommend appropriate statistical analyses.,6cb7681e-3df7-488d-b546-94f19ec5b973,18/04/2025,Novice,2,1,4,4,3,False,False,False,False,False,False,1,5,4,4,4,False,True,True,True,True,False,True
16249,Biostatisticians,Write program code to analyze data with statistical analysis software.,6cb7681e-3df7-488d-b546-94f19ec5b973,18/04/2025,Average,4,3,3,2,2,True,True,True,False,False,False,1,1,2,3,2,False,False,False,False,False,False,False
16265,Biostatisticians,"Analyze clinical or survey data, using statistical approaches such as longitudinal analysis, mixed-effect modeling, logistic regression analyses, and model-building techniques.",e7bca64a-cce0-4fc9-9dec-a837f0887b85,21/04/2025,Expert,5,4,4,3,3,True,False,False,False,False,True,1,4,4,4,3,False,False,True,True,True,True,True
16252,Biostatisticians,Prepare tables and graphs to present clinical data or results.,e7bca64a-cce0-4fc9-9dec-a837f0887b85,21/04/2025,Average,5,2,2,1,2,True,True,False,False,False,False,1,2,2,2,2,False,False,False,False,False,False,False
16262,Biostatisticians,Review clinical or other medical research protocols and recommend appropriate statistical analyses.,e7bca64a-cce0-4fc9-9dec-a837f0887b85,21/04/2025,Average,3,1,3,2,5,False,False,False,False,False,True,1,4,5,4,4,False,False,True,True,True,True,True
16246,Biostatisticians,Calculate sample size requirements for clinical studies.,4b33cee5-9a5f-4998-a0f7-2ba7861bf374,21/04/2025,Average,4,2,1,1,1,True,True,True,False,True,True,2,2,3,3,2,False,False,False,False,False,False,False
16252,Biostatisticians,Prepare tables and graphs to present clinical data or results.,4b33cee5-9a5f-4998-a0f7-2ba7861bf374,21/04/2025,Expert,4,3,2,1,1,True,True,True,False,False,True,1,1,1,1,1,False,False,False,False,False,False,False
16262,Biostatisticians,Review clinical or other medical research protocols and recommend appropriate statistical analyses.,4b33cee5-9a5f-4998-a0f7-2ba7861bf374,21/04/2025,Expert,4,2,2,4,1,True,True,True,False,False,True,2,2,2,2,2,False,False,False,False,False,False,False
16249,Biostatisticians,Write program code to analyze data with statistical analysis software.,696b9bf8-d377-42ae-b561-84716428bf09,05/05/2025,Expert,2,1,2,2,2,False,False,False,False,False,False,2,5,2,3,4,False,True,True,True,True,False,True
16265,Biostatisticians,"Analyze clinical or survey data, using statistical approaches such as longitudinal analysis, mixed-effect modeling, logistic regression analyses, and model-building techniques.",696b9bf8-d377-42ae-b561-84716428bf09,05/05/2025,Expert,1,1,4,2,1,False,False,False,False,False,False,2,1,2,4,3,False,True,True,True,False,True,True
16252,Biostatisticians,Prepare tables and graphs to present clinical data or results.,696b9bf8-d377-42ae-b561-84716428bf09,05/05/2025,Average,3,1,2,3,2,True,True,False,False,False,True,2,2,2,2,2,False,False,False,False,False,False,False
16265,Biostatisticians,"Analyze clinical or survey data, using statistical approaches such as longitudinal analysis, mixed-effect modeling, logistic regression analyses, and model-building techniques.",aeb35b63-2b46-456c-89a2-a87adb8666c9,07/05/2025,Novice,2,5,5,2,3,False,False,False,False,False,False,5,4,5,5,4,False,True,True,False,True,False,True
16252,Biostatisticians,Prepare tables and graphs to present clinical data or results.,aeb35b63-2b46-456c-89a2-a87adb8666c9,07/05/2025,Expert,5,4,4,5,3,True,False,False,False,False,False,1,1,4,1,2,False,False,False,False,False,False,False
16262,Biostatisticians,Review clinical or other medical research protocols and recommend appropriate statistical analyses.,aeb35b63-2b46-456c-89a2-a87adb8666c9,07/05/2025,Average,1,3,3,1,3,False,False,False,False,False,False,1,2,5,5,5,False,True,True,False,True,False,True
16252,Biostatisticians,Prepare tables and graphs to present clinical data or results.,ca8a8e3e-20d2-4d91-9036-c055085c569e,07/05/2025,Average,2,4,4,3,3,False,False,False,False,False,False,1,1,2,2,3,False,False,True,False,True,False,False
16249,Biostatisticians,Write program code to analyze data with statistical analysis software.,ca8a8e3e-20d2-4d91-9036-c055085c569e,07/05/2025,Average,2,2,4,2,4,False,False,False,False,False,False,1,1,2,1,2,False,False,False,False,False,False,False
16265,Biostatisticians,"Analyze clinical or survey data, using statistical approaches such as longitudinal analysis, mixed-effect modeling, logistic regression analyses, and model-building techniques.",ae01ff5e-076b-404a-be3b-d955c3fd032e,11/05/2025,Expert,2,4,5,3,4,False,False,False,False,False,False,1,2,4,5,3,True,True,True,True,True,True,True
16246,Biostatisticians,Calculate sample size requirements for clinical studies.,ae01ff5e-076b-404a-be3b-d955c3fd032e,11/05/2025,Expert,3,3,5,2,4,True,True,True,True,True,True,1,2,4,5,4,True,True,True,True,True,True,True
16249,Biostatisticians,Write program code to analyze data with statistical analysis software.,ae01ff5e-076b-404a-be3b-d955c3fd032e,11/05/2025,Average,3,4,5,2,5,True,True,True,True,True,True,1,2,3,5,4,True,True,True,True,True,True,True
16135,Business Intelligence Analysts,"Maintain library of model documents, templates, or other reusable knowledge assets.",781aa060-95b4-4536-90a1-086df99ed284,10/03/2025,Expert,3,1,3,1,2,True,True,False,False,False,False,1,1,1,2,2,False,False,False,False,False,False,False
16140,Business Intelligence Analysts,Manage timely flow of business intelligence information to users.,781aa060-95b4-4536-90a1-086df99ed284,10/03/2025,Expert,4,1,4,1,2,True,True,False,False,False,False,1,1,1,1,1,False,False,False,False,False,False,False
16150,Business Intelligence Analysts,"Generate standard or custom reports summarizing business, financial, or economic data for review by executives, managers, clients, and other stakeholders.",b3d1911a-fc8d-4343-928d-8294c0ddd746,10/03/2025,Expert,3,3,4,1,3,True,True,False,False,False,True,1,4,3,4,4,False,True,True,False,True,True,False
16150,Business Intelligence Analysts,"Generate standard or custom reports summarizing business, financial, or economic data for review by executives, managers, clients, and other stakeholders.",faf35f8d-708a-4da0-b4bc-1825e08dc418,10/03/2025,Average,3,4,3,2,3,True,True,False,False,False,False,1,3,2,2,2,False,False,False,False,False,False,False
16140,Business Intelligence Analysts,Manage timely flow of business intelligence information to users.,faf35f8d-708a-4da0-b4bc-1825e08dc418,10/03/2025,Average,1,2,2,2,1,False,False,False,False,False,False,1,3,2,3,3,False,True,True,False,False,False,False
16146,Business Intelligence Analysts,"Collect business intelligence data from available industry reports, public information, field reports, or purchased sources.",faf35f8d-708a-4da0-b4bc-1825e08dc418,10/03/2025,Expert,3,3,3,3,2,False,False,False,True,False,False,1,4,4,4,2,False,False,False,False,False,False,False
16135,Business Intelligence Analysts,"Maintain library of model documents, templates, or other reusable knowledge assets.",bab93afd-0484-4734-b438-3be872b395b1,11/03/2025,Expert,4,3,3,1,5,True,False,False,False,False,False,1,1,2,4,2,False,False,False,False,False,False,False
16140,Business Intelligence Analysts,Manage timely flow of business intelligence information to users.,bab93afd-0484-4734-b438-3be872b395b1,11/03/2025,Expert,3,3,3,3,3,True,False,False,False,False,False,3,2,2,2,3,False,True,True,False,False,False,False
16136,Business Intelligence Analysts,"Identify or monitor current and potential customers, using business intelligence tools.",bab93afd-0484-4734-b438-3be872b395b1,11/03/2025,Expert,3,4,4,2,5,True,False,False,False,False,False,2,4,4,4,2,False,False,False,False,False,False,False
16150,Business Intelligence Analysts,"Generate standard or custom reports summarizing business, financial, or economic data for review by executives, managers, clients, and other stakeholders.",124762b6-79bc-4794-afc7-07d04cc74b69,11/03/2025,Expert,4,2,4,2,3,True,True,True,True,False,True,3,2,4,3,4,False,True,True,False,True,True,False
16135,Business Intelligence Analysts,"Maintain library of model documents, templates, or other reusable knowledge assets.",124762b6-79bc-4794-afc7-07d04cc74b69,11/03/2025,Average,5,1,1,1,1,True,True,False,False,False,False,2,2,1,3,2,False,False,False,False,False,False,False
16140,Business Intelligence Analysts,Manage timely flow of business intelligence information to users.,124762b6-79bc-4794-afc7-07d04cc74b69,11/03/2025,Average,4,2,2,2,2,True,True,False,False,False,False,3,1,3,2,2,False,False,False,False,False,False,False
16146,Business Intelligence Analysts,"Collect business intelligence data from available industry reports, public information, field reports, or purchased sources.",124762b6-79bc-4794-afc7-07d04cc74b69,11/03/2025,Average,2,1,3,2,2,False,False,False,False,False,False,2,1,3,4,2,False,False,False,False,False,False,False
16150,Business Intelligence Analysts,"Generate standard or custom reports summarizing business, financial, or economic data for review by executives, managers, clients, and other stakeholders.",144f23d9-8f1c-408f-a877-f02cff2277f1,11/03/2025,Average,4,3,1,3,2,True,False,False,False,False,True,3,3,2,3,2,False,False,False,False,False,False,False
16143,Business Intelligence Analysts,"Disseminate information regarding tools, reports, or metadata enhancements.",144f23d9-8f1c-408f-a877-f02cff2277f1,11/03/2025,Average,5,1,2,1,1,True,False,False,False,False,False,1,3,1,3,1,False,False,False,False,False,False,False
16150,Business Intelligence Analysts,"Generate standard or custom reports summarizing business, financial, or economic data for review by executives, managers, clients, and other stakeholders.",bfec429d-ea47-420a-94c0-00c44eeb6684,13/03/2025,Expert,1,5,5,5,5,False,False,False,False,False,False,1,3,4,5,5,False,True,True,True,True,True,True
16135,Business Intelligence Analysts,"Maintain library of model documents, templates, or other reusable knowledge assets.",bfec429d-ea47-420a-94c0-00c44eeb6684,13/03/2025,Expert,3,1,3,1,2,True,True,True,True,False,False,1,1,2,3,3,False,False,True,False,True,True,False
16140,Business Intelligence Analysts,Manage timely flow of business intelligence information to users.,bfec429d-ea47-420a-94c0-00c44eeb6684,13/03/2025,Expert,5,1,4,1,2,True,True,False,False,False,True,1,2,2,2,2,False,False,False,False,False,False,False
16143,Business Intelligence Analysts,"Disseminate information regarding tools, reports, or metadata enhancements.",bfec429d-ea47-420a-94c0-00c44eeb6684,13/03/2025,Expert,2,1,5,1,3,False,False,False,False,False,False,1,5,3,3,4,False,True,True,True,True,True,False
16150,Business Intelligence Analysts,"Generate standard or custom reports summarizing business, financial, or economic data for review by executives, managers, clients, and other stakeholders.",58cc0aa2-572b-45d4-a798-d2790d8c25f1,15/03/2025,Average,3,4,4,2,5,True,True,True,False,False,True,4,4,4,4,4,True,True,True,True,False,True,True
16140,Business Intelligence Analysts,Manage timely flow of business intelligence information to users.,58cc0aa2-572b-45d4-a798-d2790d8c25f1,15/03/2025,Average,5,2,3,1,3,True,False,True,False,False,True,3,5,3,2,3,False,True,False,True,False,False,True
16146,Business Intelligence Analysts,"Collect business intelligence data from available industry reports, public information, field reports, or purchased sources.",58cc0aa2-572b-45d4-a798-d2790d8c25f1,15/03/2025,Expert,4,4,5,4,5,True,False,True,False,False,True,4,4,4,4,3,True,False,True,False,False,True,True
16136,Business Intelligence Analysts,"Identify or monitor current and potential customers, using business intelligence tools.",58cc0aa2-572b-45d4-a798-d2790d8c25f1,15/03/2025,Expert,4,4,5,3,5,True,False,True,False,False,True,4,3,4,5,3,True,True,True,False,True,True,False
16146,Business Intelligence Analysts,"Collect business intelligence data from available industry reports, public information, field reports, or purchased sources.",6cd7025e-a3bc-459a-a009-3386667dc164,21/03/2025,Average,3,2,3,1,2,True,False,False,False,False,True,1,2,1,4,3,False,True,True,True,True,True,True
16135,Business Intelligence Analysts,"Maintain library of model documents, templates, or other reusable knowledge assets.",fda21eb8-f9e5-4f6d-bf47-e8221578d5f0,23/03/2025,Expert,3,1,3,1,1,True,True,True,False,False,False,3,1,3,3,3,True,False,True,False,True,True,False
16146,Business Intelligence Analysts,"Collect business intelligence data from available industry reports, public information, field reports, or purchased sources.",fda21eb8-f9e5-4f6d-bf47-e8221578d5f0,23/03/2025,Novice,3,2,3,3,2,True,False,True,False,False,True,3,3,2,2,3,False,False,False,False,False,False,False
16136,Business Intelligence Analysts,"Identify or monitor current and potential customers, using business intelligence tools.",fda21eb8-f9e5-4f6d-bf47-e8221578d5f0,23/03/2025,Expert,3,3,3,1,3,True,True,True,False,False,True,4,2,2,3,3,True,True,False,False,False,False,False
16150,Business Intelligence Analysts,"Generate standard or custom reports summarizing business, financial, or economic data for review by executives, managers, clients, and other stakeholders.",6f1acb0c-173a-41c2-9653-ae3cf89f2941,23/03/2025,Expert,3,2,3,2,4,True,True,True,False,False,True,1,2,3,3,3,False,True,True,True,True,True,True
16136,Business Intelligence Analysts,"Identify or monitor current and potential customers, using business intelligence tools.",6f1acb0c-173a-41c2-9653-ae3cf89f2941,23/03/2025,Average,3,1,3,2,2,True,False,False,False,True,True,4,4,4,4,2,False,False,False,False,False,False,False
16136,Business Intelligence Analysts,"Identify or monitor current and potential customers, using business intelligence tools.",2e735121-8860-4534-b5c4-75984b2c34bf,25/03/2025,Average,3,2,4,4,5,True,False,False,False,False,True,2,5,5,5,3,True,True,True,True,False,False,False
16150,Business Intelligence Analysts,"Generate standard or custom reports summarizing business, financial, or economic data for review by executives, managers, clients, and other stakeholders.",2e735121-8860-4534-b5c4-75984b2c34bf,25/03/2025,Expert,4,3,5,2,2,True,True,False,False,False,True,1,1,4,4,3,False,False,False,False,False,False,False
16150,Business Intelligence Analysts,"Generate standard or custom reports summarizing business, financial, or economic data for review by executives, managers, clients, and other stakeholders.",d43eb3ea-e340-4de1-b779-e3b7273fa3ad,28/03/2025,Expert,5,2,4,1,1,True,True,False,False,False,True,2,2,3,3,3,False,True,True,False,True,True,False
16135,Business Intelligence Analysts,"Maintain library of model documents, templates, or other reusable knowledge assets.",d43eb3ea-e340-4de1-b779-e3b7273fa3ad,28/03/2025,Average,5,1,2,1,1,False,False,False,False,False,False,1,2,1,3,2,False,False,False,False,False,False,False
16140,Business Intelligence Analysts,Manage timely flow of business intelligence information to users.,d43eb3ea-e340-4de1-b779-e3b7273fa3ad,28/03/2025,Expert,4,4,5,3,2,True,True,True,True,True,True,2,4,4,4,4,False,True,True,True,True,True,True
16146,Business Intelligence Analysts,"Collect business intelligence data from available industry reports, public information, field reports, or purchased sources.",d43eb3ea-e340-4de1-b779-e3b7273fa3ad,28/03/2025,Expert,5,1,3,1,1,True,True,False,False,False,False,1,1,1,2,1,False,False,False,False,False,False,False
16136,Business Intelligence Analysts,"Identify or monitor current and potential customers, using business intelligence tools.",d43eb3ea-e340-4de1-b779-e3b7273fa3ad,28/03/2025,Expert,5,1,4,1,2,True,True,False,False,False,False,2,2,1,3,2,False,False,False,False,False,False,False
16143,Business Intelligence Analysts,"Disseminate information regarding tools, reports, or metadata enhancements.",d43eb3ea-e340-4de1-b779-e3b7273fa3ad,28/03/2025,Average,5,1,2,1,1,True,True,True,False,False,False,2,1,2,3,1,False,False,False,False,False,False,False
16135,Business Intelligence Analysts,"Maintain library of model documents, templates, or other reusable knowledge assets.",48625545-3c87-4217-ba6b-c1382122cf24,29/04/2025,Expert,2,1,3,2,2,False,False,False,False,False,False,2,2,3,4,3,False,True,True,False,True,True,True
16146,Business Intelligence Analysts,"Collect business intelligence data from available industry reports, public information, field reports, or purchased sources.",48625545-3c87-4217-ba6b-c1382122cf24,29/04/2025,Expert,2,4,3,3,3,False,False,False,False,False,False,1,1,1,2,1,False,False,False,False,False,False,False
16136,Business Intelligence Analysts,"Identify or monitor current and potential customers, using business intelligence tools.",48625545-3c87-4217-ba6b-c1382122cf24,29/04/2025,Expert,2,2,3,3,4,False,False,False,False,False,False,3,3,2,3,3,True,False,True,True,True,True,False
16140,Business Intelligence Analysts,Manage timely flow of business intelligence information to users.,48625545-3c87-4217-ba6b-c1382122cf24,29/04/2025,Expert,2,3,4,4,4,False,False,False,False,False,False,2,5,2,4,4,True,False,True,True,True,True,True
16143,Business Intelligence Analysts,"Disseminate information regarding tools, reports, or metadata enhancements.",48625545-3c87-4217-ba6b-c1382122cf24,29/04/2025,Expert,3,3,2,2,3,True,True,True,False,False,True,1,1,1,2,1,False,False,False,False,False,False,False
16150,Business Intelligence Analysts,"Generate standard or custom reports summarizing business, financial, or economic data for review by executives, managers, clients, and other stakeholders.",474c23e9-9e54-4fd5-bdd4-04332d39f1a5,12/04/2025,Expert,2,3,4,2,4,False,False,False,False,False,False,1,2,5,5,4,False,True,True,False,True,False,True
16136,Business Intelligence Analysts,"Identify or monitor current and potential customers, using business intelligence tools.",474c23e9-9e54-4fd5-bdd4-04332d39f1a5,12/04/2025,Expert,3,2,3,1,2,True,False,True,False,False,True,1,4,3,3,3,False,True,False,False,False,True,False
16135,Business Intelligence Analysts,"Maintain library of model documents, templates, or other reusable knowledge assets.",474c23e9-9e54-4fd5-bdd4-04332d39f1a5,12/04/2025,Expert,5,1,2,1,1,True,True,True,False,False,False,1,2,1,2,3,False,False,True,True,False,False,False
16136,Business Intelligence Analysts,"Identify or monitor current and potential customers, using business intelligence tools.",37f233a6-cfc0-4037-aff6-09fc96ff528e,15/04/2025,Average,3,2,5,1,4,True,False,False,False,False,True,4,4,3,5,3,True,True,True,True,True,True,True
16140,Business Intelligence Analysts,Manage timely flow of business intelligence information to users.,37f233a6-cfc0-4037-aff6-09fc96ff528e,15/04/2025,Novice,3,1,3,3,5,True,False,True,False,False,True,3,3,5,3,3,True,False,True,False,True,False,False
16135,Business Intelligence Analysts,"Maintain library of model documents, templates, or other reusable knowledge assets.",c2778914-f3e9-4623-a276-358865c6a48a,16/04/2025,Average,3,2,2,2,3,True,False,True,False,False,False,2,3,3,2,4,False,True,False,False,False,False,False
16140,Business Intelligence Analysts,Manage timely flow of business intelligence information to users.,c2778914-f3e9-4623-a276-358865c6a48a,16/04/2025,Expert,3,2,3,3,4,False,False,True,False,False,False,3,4,3,3,4,False,True,False,False,False,False,False
16280,Clinical Data Managers,"Generate data queries, based on validation checks or errors and omissions identified during data entry, to resolve identified problems.",068bb185-3dfa-4d24-b40b-5b0b602260ec,19/03/2025,Average,4,3,3,4,4,True,True,True,True,True,True,1,4,3,4,4,False,True,True,True,True,True,True
16277,Clinical Data Managers,"Prepare data analysis listings and activity, performance, or progress reports.",068bb185-3dfa-4d24-b40b-5b0b602260ec,19/03/2025,Expert,3,3,4,4,3,True,False,True,True,True,True,1,5,4,4,5,False,True,True,True,True,True,True
16270,Clinical Data Managers,Develop technical specifications for data management programming and communicate needs to information technology staff.,068bb185-3dfa-4d24-b40b-5b0b602260ec,19/03/2025,Average,4,2,3,1,2,True,True,True,True,False,True,1,4,4,3,2,False,False,False,False,False,False,False
16284,Clinical Data Managers,"Process clinical data, including receipt, entry, verification, or filing of information.",068bb185-3dfa-4d24-b40b-5b0b602260ec,19/03/2025,Average,3,2,3,2,2,True,True,True,False,False,False,1,1,2,3,1,False,False,False,False,False,False,False
16279,Clinical Data Managers,Monitor work productivity or quality to ensure compliance with standard operating procedures.,068bb185-3dfa-4d24-b40b-5b0b602260ec,19/03/2025,Expert,4,2,3,3,2,True,True,True,True,False,True,1,4,3,4,4,False,True,True,True,True,True,True
16283,Clinical Data Managers,Analyze clinical data using appropriate statistical tools.,068bb185-3dfa-4d24-b40b-5b0b602260ec,19/03/2025,Expert,4,4,4,1,1,True,True,True,False,False,True,1,3,4,3,3,False,True,True,False,True,True,True
16274,Clinical Data Managers,"Track the flow of work forms, including in-house data flow or electronic forms transfer.",068bb185-3dfa-4d24-b40b-5b0b602260ec,19/03/2025,Expert,4,4,4,2,2,True,True,True,False,False,True,2,4,4,4,4,False,True,True,True,True,True,False
16284,Clinical Data Managers,"Process clinical data, including receipt, entry, verification, or filing of information.",7051583b-24dd-4d79-9135-7d8e299fffef,07/04/2025,Expert,5,4,4,2,2,False,True,True,True,True,False,2,2,2,2,4,False,True,True,True,False,False,False
16280,Clinical Data Managers,"Generate data queries, based on validation checks or errors and omissions identified during data entry, to resolve identified problems.",7051583b-24dd-4d79-9135-7d8e299fffef,07/04/2025,Expert,4,4,4,1,2,False,True,True,False,False,True,2,2,3,3,3,False,True,True,False,False,False,True
16283,Clinical Data Managers,Analyze clinical data using appropriate statistical tools.,7051583b-24dd-4d79-9135-7d8e299fffef,07/04/2025,Expert,4,4,4,2,2,True,True,False,False,False,True,3,2,3,2,3,True,False,False,False,True,False,True
16277,Clinical Data Managers,"Prepare data analysis listings and activity, performance, or progress reports.",d9c92a19-5435-4346-9ecf-bedaea297fa3,24/03/2025,Novice,5,1,1,3,1,False,True,True,True,False,False,5,2,3,1,4,False,False,False,True,False,True,True
16283,Clinical Data Managers,Analyze clinical data using appropriate statistical tools.,d9c92a19-5435-4346-9ecf-bedaea297fa3,24/03/2025,Average,4,2,3,3,1,True,True,True,True,False,False,3,3,3,3,4,False,False,True,True,False,True,True
16270,Clinical Data Managers,Develop technical specifications for data management programming and communicate needs to information technology staff.,d9c92a19-5435-4346-9ecf-bedaea297fa3,24/03/2025,Average,5,3,4,5,1,True,True,True,True,True,False,5,5,5,4,5,False,False,False,False,False,False,False
16284,Clinical Data Managers,"Process clinical data, including receipt, entry, verification, or filing of information.",744ef967-02fc-4500-a30a-aa152851bd14,25/03/2025,Novice,3,1,1,1,1,True,False,False,False,False,True,2,1,2,2,4,True,False,True,False,True,True,False
16280,Clinical Data Managers,"Generate data queries, based on validation checks or errors and omissions identified during data entry, to resolve identified problems.",744ef967-02fc-4500-a30a-aa152851bd14,25/03/2025,Novice,4,1,1,1,1,True,False,False,False,False,True,1,1,4,5,5,False,False,True,False,False,False,False
16279,Clinical Data Managers,Monitor work productivity or quality to ensure compliance with standard operating procedures.,744ef967-02fc-4500-a30a-aa152851bd14,25/03/2025,Expert,4,2,4,1,1,True,True,False,True,False,False,1,1,1,1,1,False,False,False,False,False,False,False
16277,Clinical Data Managers,"Prepare data analysis listings and activity, performance, or progress reports.",744ef967-02fc-4500-a30a-aa152851bd14,25/03/2025,Expert,2,2,4,2,3,False,False,False,False,False,False,1,1,4,5,5,False,True,True,False,False,False,False
16283,Clinical Data Managers,Analyze clinical data using appropriate statistical tools.,744ef967-02fc-4500-a30a-aa152851bd14,25/03/2025,Average,4,1,2,1,1,True,True,False,True,False,False,1,1,4,3,5,False,False,True,False,False,False,False
16270,Clinical Data Managers,Develop technical specifications for data management programming and communicate needs to information technology staff.,744ef967-02fc-4500-a30a-aa152851bd14,25/03/2025,Expert,2,4,5,3,3,False,False,False,False,False,False,1,3,5,4,5,False,False,True,True,False,True,False
16279,Clinical Data Managers,Monitor work productivity or quality to ensure compliance with standard operating procedures.,15a17f08-fdcc-4b7e-a4d0-823509d8339a,25/03/2025,Average,2,2,2,2,2,False,False,False,False,False,False,3,4,3,2,3,True,False,False,False,False,False,False
16284,Clinical Data Managers,"Process clinical data, including receipt, entry, verification, or filing of information.",aa9a4305-399b-467f-ad91-75854bc999fd,30/04/2025,Average,3,3,4,3,4,False,False,True,False,False,False,1,4,4,3,3,False,True,False,False,False,False,False
16270,Clinical Data Managers,Develop technical specifications for data management programming and communicate needs to information technology staff.,aa9a4305-399b-467f-ad91-75854bc999fd,30/04/2025,Novice,5,1,2,1,1,False,False,False,False,True,False,1,5,5,5,3,False,False,False,True,False,False,False
16280,Clinical Data Managers,"Generate data queries, based on validation checks or errors and omissions identified during data entry, to resolve identified problems.",aa9a4305-399b-467f-ad91-75854bc999fd,30/04/2025,Average,4,2,4,3,3,False,False,False,False,False,True,1,1,4,5,1,False,False,False,False,False,False,False
